allow_backorders,attribute_set_code,display_product_options_in,enable_googlecheckout,enable_qty_increments,eol_date,is_decimal_divided,is_imported,is_in_stock,is_qty_decimal,is_recurring,manage_stock,max_cart_qty,min_cart_qty,name,notify_on_stock_below,out_of_stock_qty,page_layout,price,product_online,product_type,product_websites,qty,qty_increments,safety_bsmi,safety_cb_ite,safety_ccc,safety_cd_med,safety_csa,safety_demko,safety_list,safety_tuv,safety_ul_ite,safety_ul_med,safety_vde,series_3d_details,series_3d_iges,series_3d_pdf,series_3d_solidworks,series_3d_step,series_datasheet,series_primary,series_status,series_type,sku,store_view_code,url_key,use_config_backorders,use_config_enable_qty_inc,use_config_manage_stock,use_config_max_sale_qty,use_config_min_qty,use_config_min_sale_qty,use_config_notify_stock_qty,use_config_qty_increments,visibility,website_id
0,Series,Block after Info Column,Yes,0,8/18/2014,0,No,1,0,No,1,10000,1,3600,1,0,2 columns with right bar,0.01,1,simple,murataps,999,0,,,,,,,,,,,,,/3d/magnetics/mps_mag_3600_smt_a.igs,/3d/magnetics/mps_mag_3600_smt_a.pdf,/3d/magnetics/mps_mag_3600_smt_a.sldprt,/3d/magnetics/mps_mag_3600_smt_a.step.zip,/data/magnetics/kmp_3600.pdf,Yes,Recommended In Production,Magnetic,series_3600,,3600,1,1,1,1,1,1,1,1,Catalog,0
0,Series,Block after Info Column,Yes,0,8/18/2014,0,No,1,0,No,1,10000,1,3700,1,0,2 columns with right bar,0.01,1,simple,murataps,999,0,,,,,,,,,,,,5.8mm height inductor,/3d/magnetics/mps_mag_3700_smt_a.igs,/3d/magnetics/mps_mag_3700_smt_a.pdf,/3d/magnetics/mps_mag_3700_smt_a.sldprt,/3d/magnetics/mps_mag_3700_smt_a.step.zip,/data/magnetics/kmp_3700.pdf,Yes,Recommended In Production,Magnetic,series_3700,,3700,1,1,1,1,1,1,1,1,Catalog,0
0,Series,Block after Info Column,Yes,0,,0,No,1,0,No,1,10000,1,3700,1,0,2 columns with right bar,0.01,1,simple,murataps,999,0,,,,,,,,,,,,6.8mm height inductor,/3d/magnetics/mps_mag_3700_smt_height_b_a.igs,/3d/magnetics/mps_mag_3700_smt_height_b_a.pdf,/3d/magnetics/mps_mag_3700_smt_height_b_a.sldprt,/3d/magnetics/mps_mag_3700_smt_height_b_a.step.zip,/data/magnetics/kmp_3700.pdf,No,Recommended In Production,Magnetic,series_3700_2,,3700-2,1,1,1,1,1,1,1,1,Catalog,0
0,Series,Block after Info Column,Yes,0,8/18/2014,0,No,1,0,No,1,10000,1,3800,1,0,2 columns with right bar,0.01,1,simple,murataps,999,0,,,,,,,,,,,,,/3d/magnetics/mps_mag_3800_smt_a.igs,/3d/magnetics/mps_mag_3800_smt_a.pdf,/3d/magnetics/mps_mag_3800_smt_a.sldprt,/3d/magnetics/mps_mag_3800_smt_a.step.zip,/data/magnetics/kmp_3800.pdf,Yes,Recommended In Production,Magnetic,series_3800,,3800,1,1,1,1,1,1,1,1,Catalog,0
0,Series,Block after Info Column,Yes,0,8/18/2014,0,No,1,0,No,1,10000,1,3900,1,0,2 columns with right bar,0.01,1,simple,murataps,999,0,,,,,,,,,,,,,/3d/magnetics/mps_mag_3900_smt_a.igs,/3d/magnetics/mps_mag_3900_smt_a.pdf,/3d/magnetics/mps_mag_3900_smt_a.sldprt,/3d/magnetics/mps_mag_3900_smt_a.step.zip,/data/magnetics/kmp_3900.pdf,Yes,Recommended In Production,Magnetic,series_3900,,3900,1,1,1,1,1,1,1,1,Catalog,0
0,Series,Block after Info Column,Yes,0,10/1/2018,0,No,1,0,No,1,10000,1,4000,1,0,2 columns with right bar,0.01,1,simple,murataps,999,0,,,,,,,,,,,,,Request,Request,Request,Request,/data/magnetics/kmp_4000.pdf,Yes,Discontinued,Magnetic,series_4000,,4000,1,1,1,1,1,1,1,1,Catalog,0
0,Series,Block after Info Column,Yes,0,10/1/2018,0,No,1,0,No,1,10000,1,4100,1,0,2 columns with right bar,0.01,1,simple,murataps,999,0,,,,,,,,,,,,,Request,Request,Request,Request,/data/magnetics/kmp_4100.pdf,Yes,Discontinued,Magnetic,series_4100,,4100,1,1,1,1,1,1,1,1,Catalog,0
0,Series,Block after Info Column,Yes,0,10/1/2018,0,No,1,0,No,1,10000,1,4200,1,0,2 columns with right bar,0.01,1,simple,murataps,999,0,,,,,,,,,,,,,Request,Request,Request,Request,/data/magnetics/kmp_4200.pdf,Yes,Discontinued,Magnetic,series_4200,,4200,1,1,1,1,1,1,1,1,Catalog,0
0,Series,Block after Info Column,Yes,0,10/1/2018,0,No,1,0,No,1,10000,1,4300,1,0,2 columns with right bar,0.01,1,simple,murataps,999,0,,,,,,,,,,,,,Request,Request,Request,Request,/data/magnetics/kmp_4300.pdf,Yes,Discontinued,Magnetic,series_4300,,4300,1,1,1,1,1,1,1,1,Catalog,0
0,Series,Block after Info Column,Yes,0,8/18/2014,0,No,1,0,No,1,10000,1,4500,1,0,2 columns with right bar,0.01,1,simple,murataps,999,0,,,,,,,,,,,,,/3d/magnetics/mps_mag_4500_smt_a.igs,/3d/magnetics/mps_mag_4500_smt_a.pdf,/3d/magnetics/mps_mag_4500_smt_a.sldprt,/3d/magnetics/mps_mag_4500_smt_a.step.zip,/data/magnetics/kmp_4500.pdf,Yes,Recommended In Production,Magnetic,series_4500,,4500,1,1,1,1,1,1,1,1,Catalog,0
