sku,store_view_code,attribute_set_code,product_websites,name,rfm_spec_temp_range,rfm_spec_temp_max,rfm_spec_temp_min
SF2424D,,RFM - SAW Filter,"wireless,base",SF2424D, -40 to +85,85,-40
SF2425E,,RFM - SAW Filter,"wireless,base",SF2425E, -40 to +85,85,-40
SF2431D,,RFM - SAW Filter,"wireless,base",SF2431D, -40 to +85,85,-40
SF2433D,,RFM - SAW Filter,wireless,SF2433D, -30 to +85,85,-40
SF2434E,,RFM - SAW Filter,"wireless,base",SF2434E, -40 to +105,105,-40
SF2434E-1,,RFM - SAW Filter,"wireless,base",SF2434E-1, -40 to +105,105,-40
SF2437D,,RFM - SAW Filter,"wireless,base",SF2437D, -40 to +85,85,-40
SF2438D,,RFM - SAW Filter,"wireless,base",SF2438D, -40 to +85,85,-40
SF2442E-1,,RFM - SAW Filter,"wireless,base",SF2442E-1, -40 to +105,105,-40
SF2446E,,RFM - SAW Filter,"wireless,base",SF2446E, -40 to +85,85,-40
SF2463H,,RFM - SAW Filter,"wireless,base",SF2463H, -40 to +125,125,-40
SF2467H,,RFM - SAW Filter,"wireless,base",SF2467H, -40 to +85,85,-40
RF1171,,RFM - SAW Filter,"wireless,base",RF1171, -35 to +85,85,-35
RF1199,,RFM - SAW Filter,"wireless,base",RF1199, -35 to +85,85,-35
RF1211,,RFM - SAW Filter,"wireless,base",RF1211, -35 to +85,85,-35
RF1238,,RFM - SAW Filter,"wireless,base",RF1238, -35 to +85,85,-35
RF1284,,RFM - SAW Filter,"wireless,base",RF1284, -35 to +85,85,-35
RF3171,,RFM - SAW Filter,"wireless,base",RF3171, -35 to +85,85,-35
RF3355C,,RFM - SAW Filter,"wireless,base",RF3355C, -35 to +85,85,-35
SF1115A,,RFM - SAW Filter,"wireless,base",SF1115A, -35 to +85,85,-35
SF1131B,,RFM - SAW Filter,"wireless,base",SF1131B, -30 to +85,85,-30
SF1182B,,RFM - SAW Filter,"wireless,base",SF1182B, -30 to +85,85,-30
SF1183B,,RFM - SAW Filter,"wireless,base",SF1183B, -30 to +85,85,-30
SF1184B-1,,RFM - SAW Filter,"wireless,base",SF1184B-1, -30 to +85,85,-30
SF1186H,,RFM - SAW Filter,"wireless,base",SF1186H, -30 to +85,85,-30
SF1192B,,RFM - SAW Filter,"wireless,base",SF1192B, -30 to +85,85,-30
SF1201D,,RFM - SAW Filter,"wireless,base",SF1201D, -30 to +85,85,-30
SF1202D,,RFM - SAW Filter,"wireless,base",SF1202D, -30 to +85,85,-30
SF1207D,,RFM - SAW Filter,"wireless,base",SF1207D, -30 to +85,85,-30
SF1212D,,RFM - SAW Filter,"wireless,base",SF1212D, -30 to +85,85,-30
SF1213D,,RFM - SAW Filter,"wireless,base",SF1213D, -30 to +80,80,-30
SF1214D,,RFM - SAW Filter,"wireless,base",SF1214D, -30 to +80,80,-30
SF1215D,,RFM - SAW Filter,"wireless,base",SF1215D, -30 to +80,80,-30
