sku,name,url_key
series_DMS-20PC-1-LM,DMS-20PC-1-LM,series-dms-20pc-1-lm-1
series_DMS-20PC-1-LM-F,DMS-20PC-1-LM-F,series-dms-20pc-1-lm-f-1
series_DMS-20PC-2-LM,DMS-20PC-2-LM,series-dms-20pc-2-lm-1
series_DMS-20PC-3-DCM,DMS-20PC-3-DCM,series-dms-20pc-3-dcm-1
series_DMS-20PC-3-LM,DMS-20PC-3-LM,series-dms-20pc-3-lm-1
series_DMS-20PC-4-20,DMS-20PC-4/20,series-dms-20pc-4-20
series_DMS-20PC-4-5-6-DCM,DMS-20PC-4-5-6-DCM,series-dms-20pc-4-5-6-dcm
series_DMS-20PC-7-DCM,DMS-20PC-7-DCM,series-dms-20pc-7-dcm-1
series_DMS-20PC-9-DCM,DMS-20PC-9-DCM,series-dms-20pc-9-dcm
series_DMS-20PC-FM,DMS-20PC-FM,series-dms-20pc-fm
series_DMS-20RM,DMS-20RM,series-dms-20rm
series_DMS-3019X,DMS-3019X,series-dms-3019x
series_DMS-30798-C,DMS-30798-C,series-dms-30798-c
series_DMS-30-CP-Panel-Punch,DMS-30-CP Panel Punch,series-dms-30-cp-panel-punch
series_DMS-30DR,DMS-30DR,series-dms-30dr
series_DMS-30LCD,DMS-30LCD,series-dms-30lcd
series_DMS-30LCD_2,DMS-30LCD,series-dms-30lcd-1
series_DMS-30LCD-4-20,DMS-30LCD-4/20,series-dms-30lcd-4-20
series_DMS-30PC,DMS-30PC,series-dms-30pc
series_DMS-30PC-4-20,DMS-30PC-4/20,series-dms-30pc-4-20
series_DMS-40LCD,DMS-40LCD,series-dms-40lcd
series_DMS-40LCD_2,DMS-40LCD,series-dms-40lcd-1
series_DMS-40LCD-4-20,DMS-40LCD-4/20,series-dms-40lcd-4-20
series_DMS-40PC,DMS-40PC,series-dms-40pc
series_DMS-40PC_2,DMS-40PC,series-dms-40pc-1
series_DMS-40PC-4-20,DMS-40PC-4/20,series-dms-40pc-4-20
series_DMS-Bezels,DMS-Bezels,series-dms-bezels
series_DMS-Bezels_2,DMS-Bezels,series-dms-bezels-2
series_DMS-Bezels_3,DMS-Bezels,series-dms-bezels-3
series_DMS-Bezels_4,DMS-Bezels,series-dms-bezels-4
series_DMS-Connectors_2,DMS-Connectors,series-dms-connectors-2
series_DMS-Connectors_3,DMS-Connectors,series-dms-connectors-3
series_DMS-Accessories,DMS-Accessories,series-dms-connectors-4
series_DMS-Accessories_2,DMS-Accessories,series-dms-connectors-5
series_DMS-Accessories_3,DMS-Accessories,series-dms-connectors-6
series_DMS-DC-DCConverter,DMS-DC-DC Converter,series-dms-dc-dc-converter
series_DMS-DC Shunt,DMS-DC Shunt,series-dms-dc-shunt
series_DMS-DC Shunt_2,DMS-DC Shunt,series-dms-dc-shunt-1
series_DMS-DC-Shunts,DMS-DC Shunts,series-dms-dc-shunts
series_DMS-EB,DMS-EB,series-dms-eb-1
series_DMS-EB2,DMS-EB2,series-dms-eb2-1
series_DMS-EB-AC-DC,DMS-EB-AC/DC,series-dms-eb-ac-dc
series_DMS-EB-DC-DC,DMS-EB-DC/DC,series-dms-eb-dc-dc-1
series_DMS-EB-HTB,DMS-EB-HTB,series-dms-eb-htb
series_DMS-EB-LP,DMS-EB-LP,series-dms-eb-lp-1
series_DMS-EB-RMS,DMS-EB-RMS,series-dms-eb-rms-1
series_DMS-EB-TCJ-TCK,DMS-EB-TCJ/TCK,series-dms-eb-tcj-tck
series_DMS-Mounting-Hardware,DMS-Mounting Hardware,series-dms-mounting-hardware
series_DMS-PowerSupplies-Linear,DMS-Power Supplies-Linear,series-dms-power-supplies-linear
series_DMS-PS-CM,DMS-PS-CM,series-dms-ps-cm
series_DMU-30ACV,DMU-30ACV,series-dmu-30acv
series_DMU-30DCV,DMU-30DCV,series-dmu-30dcv
series_DNX301,DNX301,series-dnx301-1
series_DNX350,DNX350,series-dnx350-1
series_DRE,DRE,series-dre
series_DRQ,DRQ,series-drq
series_DRQ-12/42-D48_2,DRQ-12/42-D48,series-drq-12-42-d48
series_DRQ-12/42-D48,DRQ-12/42-D48,series-drq-12-42-d48-1
series_DRQ-8/100-L48NBxxxx-C,DRQ-8/100,series-drq-8-100-l48nbxxxx-c
series_DRQ-8/100-L48NBxxxx-C_2,DRQ-8/100,series-drq-8-100-l48nbxxxx-c-2
series_DSD-40BCD,DSD-40BCD,series-dsd-40bcd
series_DSM-DWR-15W,"DSM/DWR, 15W",series-dsm-dwr-15w
series_DTL22A,DTL22A,series-dtl22a
series_DTL22A-LC,DTL22A-LC,series-dtl22a-lc
series_DTL23A,DTL23A,series-dtl23a
series_DTL24A,DTL24A,series-dtl24a
series_DTL25A-LC,DTL25A-LC,series-dtl25a-lc
series_DTL2A,DTL2A,series-dtl2a
series_DTL-2A-LC,DTL-2A-LC,series-dtl-2a-lc
series_DTL-32A-LC,DTL-32A-LC,series-dtl-32a-lc
series_DTL35A-LC,DTL35A-LC,series-dtl35a-lc
series_DTL3ALoads,DTL3ALoads,series-dtl3aloads
series_DTL4A,DTL4A,series-dtl4a
series_DTL5A-LC,DTL5A-LC,series-dtl5a-lc
series_DTL-HS100D12,DTL-HS100D12,series-dtl-hs100d12
series_DTL-IFB-485,DTL-IFB-485,series-dtl-ifb-485
series_DVE125W,DVE-125W,series-dve-125w
series_DVE-125W_2,DVE-125W,series-dve-125w-1
series_DVE240W,DVE-240W,series-dve-240w
series_DVE-240W_2,DVE-240W,series-dve-240w-1
series_DVQ-DBQ,"DVQ, DBQ",series-dvq-dbq
series_DWR-DSM-15W,"DWR/DSM, 15W",series-dwr-dsm-15w
series_EBC,EBC,series-ebc
series_EHS10-050,EHS10-050,series-ehs10-050
series_EHS15-033,EHS15-033,series-ehs15-033
series_EHS20-012,EHS20-012,series-ehs20-012
series_EHS20-015,EHS20-015,series-ehs20-015
series_EHS20-018,EHS20-018,series-ehs20-018
series_EHS20-025,EHS20-025,series-ehs20-025
series_EMH-54/3-Q48_2,EMH-54/3-Q48,series-emh-54-3-q48
series_EMH-54/3-Q48,EMH-54/3-Q48,series-emh-54-3-q48-1
series_FLT,FLT,series-flt
series_HB01U,HB01U,series-hb01u
series_HB01UYC,HB01UYC,series-hb01uyc
series_HB01UZC,HB01UZC,series-hb01uzc
series_HB04U,HB04U,series-hb04u
series_HB04UC,HB04UC,series-hb04uc
series_HEN,HEN,series-hen
series_HHS04,HHS04,series-hhs04
series_HL01R,HL01R,series-hl01r
series_HL01RYC,HL01RYC,series-hl01ryc
series_HL01RZC,HL01RZC,series-hl01rzc
series_HL01U,HL01U,series-hl01u
series_HL02RYC,HL02RYC,series-hl02ryc
series_HL02RZC,HL02RZC,series-hl02rzc
series_HL02U,HL02U,series-hl02u
series_HPH,HPH,series-hph
series_HPH-12-30-D48,HPH-12/30-D48,series-hph-12-30-d48
series_HPQ,HPQ,series-hpq
series_HPQ-12,HPQ-12,series-hpq-12
series_HPQ-3.3,HPQ-3.3,series-hpq-3-3
series_HPQ-8.3,HPQ-8.3,series-hpq-8-3
series_HPQ-8.3/22-D48,HPQ-8.3/22-D48,series-hpq-8-3-22-d48
series_HPR10XX,HPR10XX,series-hpr10xx
series_HPR10XXC,HPR10XXC,series-hpr10xxc
series_HPR117VC,HPR117VC,series-hpr117vc-1
series_HPR1XXC,HPR1XXC,series-hpr1xxc
series_HPR1XXVC,HPR1XXVC,series-hpr1xxvc
series_HPR1XXWC,HPR1XXWC,series-hpr1xxwc
series_HPR2XX,HPR2XX,series-hpr2xx
series_HPR2XXC,HPR2XXC,series-hpr2xxc
series_HPR4XXC,HPR4XXC,series-hpr4xxc
series_HPR7XX,HPR7XX,series-hpr7xx
series_HPR7XXC,HPR7XXC,series-hpr7xxc
series_ICF,ICF,series-icf
series_ICH,ICH,series-ich
series_ICH-360W,ICH-360W,series-ich-360w
series_ICH-500W,ICH-500W,series-ich-500w
series_ICQ,ICQ,series-icq
series_ICQ250W,ICQ250W,series-icq250w
series_IHB100SC,IHB100SC,series-ihb100sc
series_IHB100TC,IHB100TC,series-ihb100tc
series_IHB60SC,IHB60SC,series-ihb60sc
series_IHB60TC,IHB60TC,series-ihb60tc
series_IRH,IRH,series-irh
series_IRH_2,IRH,series-irh-2
series_IRQ,IRQ,series-irq
series_IRS,IRS,series-irs
series_IRS_2,IRS,series-irs-1
series_IRS_3,IRS,series-irs-2
series_IRS_4,IRS,series-irs-3
series_JZY7010L,JZY7010L,series-jzy7010l
series_JZY7015L,JZY7015L,series-jzy7015l
series_JZY7115L,JZY7115L,series-jzy7115l
series_JZY7120L,JZY7120L,series-jzy7120l
series_KX500,KX500,series-kx500-1
series_KX750,KX750,series-kx750
series_LEN,LEN,series-len
series_LME_2,LME,series-lme
series_LME0305SC,LME0305SC ,series-lme0305sc-1
series_LME,LME,series-lme-1
series_LP02U,LP02U,series-lp02u
series_LQN,LQN,series-lqn
series_LSM,LSM,series-lsm
series_LSM-10A-D12,"LSM-10A, D12",series-lsm-10a-d12
series_LSM-10A-D3,"LSM-10A, D3",series-lsm-10a-d3
series_LSM-10A-D5,"LSM-10A, D5",series-lsm-10a-d5
series_LSM-16A-D12,"LSM-16A, D12",series-lsm-16a-d12
series_LSM-16A-W3,"LSM-16A, W3",series-lsm-16a-w3
series_LSM2,LSM2,series-lsm2
series_LSM2-T/30-D12,LSM2-T/30-D12,series-lsm2-t-30-d12
series_LSN,LSN,series-lsn
series_LSN-10A-D12,"LSN-10A, D12",series-lsn-10a-d12
series_LSN-10A-D3,"LSN-10A, D3",series-lsn-10a-d3
series_LSN-10A-D5,"LSN-10A, D5",series-lsn-10a-d5
series_LSN-16A-D12,"LSN-16A, D12",series-lsn-16a-d12
series_LSN-16A-W3,"LSN-16A, W3",series-lsn-16a-w3
series_LSN2,LSN2,series-lsn2
series_LSN2-T-22-D12,LSN2-T/22-D12,series-lsn2-t-22-d12
series_LSN2-T-30-D12,LSN2-T/30-D12,series-lsn2-t-30-d12
series_LSN-T10-D12,LSN-T10-D12,series-lsn-t10-d12
series_LSS-T-10-W12,LSS-T/10-W12,series-lss-t-10-w12
series_LWE,LWE,series-lwe
series_MAPC-104,MAPC-104,series-mapc-104
series_MEA_2,MEA,series-mea
series_MEA_3,MEA,series-mea-1
series_MEA,MEA,series-mea-2
series_MEE1_2,MEE1,series-mee1
series_MEE1,MEE1,series-mee1-1
series_MEE3,MEE3,series-mee3
series_MEF1_2,MEF1,series-mef1
series_MEF1,MEF1,series-mef1-1
series_MEJ2_2,MEJ2,series-mej2
series_MEJ2,MEJ2,series-mej2-1
series_MER1,MER1,series-mer1
series_MEU1,MEU1,series-meu1
series_MEV1_2,MEV1,series-mev1
series_MEV1_3,MEV1,series-mev1-1
series_MEV1_4,MEV1,series-mev1-2
series_MEV1_5,MEV1,series-mev1-3
series_MEV1_6,MEV1,series-mev1-4
series_MEV1,MEV1,series-mev1-5
series_MEV3,MEV3,series-mev3
series_MGJ1,MGJ1,series-mgj1
series_MGJ2,MGJ2,series-mgj2
series_MGJ3,MGJ3,series-mgj3
series_MGJ3T,MGJ3T,series-mgj3t
series_MGJ6_2,MGJ6,series-mgj6
series_MGJ6_3,MGJ6,series-mgj6-1
series_MGJ6-14mm,MGJ6-14mm,series-mgj6-14mm
series_MGJ6_4,MGJ6,series-mgj6-2
series_MGJ6,MGJ6,series-mgj6-3
series_MGJ6-3P,MGJ6-3P,series-mgj6-3p
series_MGJ6-FB,MGJ6-FB,series-mgj6-fb
series_MGJ6-HB,MGJ6-HB,series-mgj6-hb
series_MGJ6-Low-Profile,MGJ6 Low Profile,series-mgj6-low-profile
series_MGJ6-SIP-DIP,MGJ6 SIP/DIP,series-mgj6-sip-dip
series_MGJ6T,MGJ6T,series-mgj6t
series_MMV,MMV,series-mmv
series_MPS,MPS,series-mps
series_MPS8103,MPS8103,series-mps8103
series_MPS8106,MPS8106,series-mps8106
series_MPS8140,MPS8140,series-mps8140
series_MPS8142,MPS8142,series-mps8142
series_MTC1,MTC1,series-mtc1
series_MTC2,MTC2,series-mtc2
series_MTE1,MTE1,series-mte1
