sku,name,store_view_code,dimension,dimensions_mm,i1out,operating_temperature_range,total_output_power_w,v1out_vdc,v2out_vdc,vin_range,series
MEU1S0512ZC,,murataps_store_view,0.327 x 0.240 x 0.313,8.30 x 6.10 x 7.95,0.083,-40 to 85,1,12,,4.5 to 5.5,N/A
MEU1S0515ZC,,murataps_store_view,0.327 x 0.240 x 0.313,8.30 x 6.10 x 7.95,0.067,-40 to 85,1,15,,4.5 to 5.5,N/A
MEU1S1205ZC,,murataps_store_view,0.327 x 0.240 x 0.313,8.30 x 6.10 x 7.95,0.2,-40 to 85,1,5,,10.8 to 13.2,N/A
MEU1S1209ZC,,murataps_store_view,0.327 x 0.240 x 0.313,8.30 x 6.10 x 7.95,0.111,-40 to 85,1,9,,10.8 to 13.2,N/A
MEU1S1212ZC,,murataps_store_view,0.327 x 0.240 x 0.313,8.30 x 6.10 x 7.95,0.083,-40 to 85,1,12,,10.8 to 13.2,N/A
MEU1S1215ZC,,murataps_store_view,0.327 x 0.240 x 0.313,8.30 x 6.10 x 7.95,0.067,-40 to 85,1,15,,10.8 to 13.2,N/A
MTE1S0303MC,,murataps_store_view,0.500 x 0.433 x 0.278,12.70 x 11.00 x 7.05,0.303,-40 to 85,1,3.3,,2.97 to 3.63,N/A
MTE1S0305MC,,murataps_store_view,0.500 x 0.433 x 0.278,12.70 x 11.00 x 7.05,0.2,-40 to 85,1,5,,2.97 to 3.63,N/A
MTE1S0309MC,,murataps_store_view,0.500 x 0.433 x 0.278,12.70 x 11.00 x 7.05,0.111,-40 to 85,1,9,,2.97 to 3.63,N/A
MTE1S0312MC,,murataps_store_view,0.500 x 0.433 x 0.278,12.70 x 11.00 x 7.05,0.083,-40 to 85,1,12,,2.97 to 3.63,N/A
MTE1S0315MC,,murataps_store_view,0.500 x 0.433 x 0.278,12.70 x 11.00 x 7.05,0.067,-40 to 85,1,15,,2.97 to 3.63,N/A
MTU1D0305MC,,murataps_store_view,0.323 x 0.331 x 0.335,8.2 x 8.4 x 8.5,0.1,-40 to 85,1,5,-5,2.97 to 3.63,N/A
MTU1S0305MC,,murataps_store_view,0.323 x 0.331 x 0.335,8.2 x 8.4 x 8.5,0.2,-40 to 85,1,5,,2.97 to 3.63,N/A
MTU2S0305MC,,murataps_store_view,0.323 x 0.331 x 0.335,8.2 x 8.4 x 8.5,0.4,-40 to 85,2,5,,2.97 to 3.63,N/A
NKA0303DC,,murataps_store_view,0.768 x 0.386 x 0.213,19.5 x 9.8 x 5.4,0.152,-40 to 85,1,3.3,-3.3,2.97 to 3.63,NKA
NKA0303SC,,murataps_store_view,0.652 x 0.234 x 0.297,16.55 x 5.95 x 7.55,0.152,-40 to 85,1,3.3,-3.3,2.97 to 3.63,N/A
NKA0305DC,,murataps_store_view,0.768 x 0.386 x 0.213,19.5 x 9.8 x 5.4,0.1,-40 to 85,1,5,-5,2.97 to 3.63,NKA
NKA0305SC,,murataps_store_view,0.652 x 0.234 x 0.297,16.55 x 5.95 x 7.55,0.1,-40 to 85,1,5,-5,2.97 to 3.63,N/A
NKA0309DC,,murataps_store_view,0.768 x 0.386 x 0.213,19.5 x 9.8 x 5.4,0.056,-40 to 85,1,9,-9,2.97 to 3.63,NKA
NKA0309SC,,murataps_store_view,0.652 x 0.234 x 0.297,16.55 x 5.95 x 7.55,0.056,-40 to 85,1,9,-9,2.97 to 3.63,NKA
NKA0312DC,,murataps_store_view,0.768 x 0.386 x 0.213,19.5 x 9.8 x 5.4,0.042,-40 to 85,1,12,-12,2.97 to 3.63,N/A
NKA0312SC,,murataps_store_view,0.652 x 0.234 x 0.297,16.55 x 5.95 x 7.55,0.042,-40 to 85,1,12,-12,2.97 to 3.63,N/A
NKA0315DC,,murataps_store_view,0.768 x 0.386 x 0.213,19.5 x 9.8 x 5.4,0.033,-40 to 85,1,15,-15,2.97 to 3.63,NKA
NKA0315SC,,murataps_store_view,0.652 x 0.234 x 0.297,16.55 x 5.95 x 7.55,0.033,-40 to 85,1,15,-15,2.97 to 3.63,N/A
NKE0303DC,,murataps_store_view,0.386 x 0.453 x 0.212,9.8 x 11.5 x 5.4,0.303,-40 to 85,1,3.3,,2.97 to 3.63,N/A
NKE0303SC,,murataps_store_view,0.454 x 0.240 x 0.294,11.53 x 6.1 x 7.46,0.303,-40 to 85,1,3.3,,2.97 to 3.63,N/A
NKE0305DC,,murataps_store_view,0.386 x 0.453 x 0.212,9.8 x 11.5 x 5.4,0.2,-40 to 85,1,5,,2.97 to 3.63,N/A
NKE0305SC,,murataps_store_view,0.454 x 0.240 x 0.294,11.53 x 6.1 x 7.46,0.2,-40 to 85,1,5,,2.97 to 3.63,N/A
NKE0309DC,,murataps_store_view,0.386 x 0.453 x 0.212,9.8 x 11.5 x 5.4,0.111,-40 to 85,1,9,,2.97 to 3.63,N/A
NKE0309SC,,murataps_store_view,0.454 x 0.240 x 0.294,11.53 x 6.1 x 7.46,0.111,-40 to 85,1,9,,2.97 to 3.63,N/A
NKE0312DC,,murataps_store_view,0.39 x 0.45 x 0.21,9.8 x 11.5 x 5.4,0.083,-40 to 85,1,12,,2.97 to 3.63,N/A
NKE0315DC,,murataps_store_view,0.39 x 0.45 x 0.21,9.8 x 11.5 x 5.4,0.066,-40 to 85,1,15,,2.97 to 3.63,N/A
NME0505DC,,murataps_store_view,0.457 x0.39 x 0.272,11.6 x 9.9 x 6.9,0.2,-40 to 85,1,5,,4.5 to 5.5,N/A
NME0505DPC,,murataps_store_view,0.457 x0.39 x 0.272,11.6 x 9.9 x 6.9,0.2,-40 to 85,1,5,,4.5 to 5.5,N/A
NME0509DC,,murataps_store_view,0.457 x0.39 x 0.272,11.6 x 9.9 x 6.9,0.111,-40 to 85,1,9,,4.5 to 5.5,N/A
NME0512DC,,murataps_store_view,0.457 x0.39 x 0.272,11.6 x 9.9 x 6.9,0.083,-40 to 85,1,12,,4.5 to 5.5,N/A
NME0515DC,,murataps_store_view,0.457 x0.39 x 0.272,11.6 x 9.9 x 6.9,0.067,-40 to 85,1,15,,4.5 to 5.5,N/A
NME0524DC,,murataps_store_view,0.457 x0.39 x 0.272,11.6 x 9.9 x 6.9,0.042,-40 to 85,1,24,,4.5 to 5.5,N/A
NME1205DC,,murataps_store_view,0.457 x0.39 x 0.272,11.6 x 9.9 x 6.9,0.2,-40 to 85,1,5,,10.8 to 13.2,N/A
NME1212DC,,murataps_store_view,0.457 x0.39 x 0.272,11.6 x 9.9 x 6.9,0.083,-40 to 85,1,12,,10.8 to 13.2,N/A
NME1215DC,,murataps_store_view,0.457 x0.39 x 0.272,11.6 x 9.9 x 6.9,0.067,-40 to 85,1,15,,10.8 to 13.2,N/A
NME2405DC,,murataps_store_view,0.457 x0.39 x 0.272,11.6 x 9.9 x 6.9,0.2,-40 to 85,1,5,,21.6 to 26.4,N/A
NME2412DC,,murataps_store_view,0.457 x0.39 x 0.272,11.6 x 9.9 x 6.9,0.083,-40 to 85,1,12,,21.6 to 26.4,N/A
NME2415DC,,murataps_store_view,0.457 x0.39 x 0.272,11.6 x 9.9 x 6.9,0.067,-40 to 85,1,15,,21.6 to 26.4,N/A
NMJ0303SAC,,murataps_store_view,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,0.303,-40 to 85,1,3.3,,2.97 to 3.63,N/A
NTA0303MC,,murataps_store_view,0.6 x 0.441 x 0.26,15.24 x 11.2 x 6.6,0.152,-40 to 85,1,3.3,-3.3,2.97 to 3.63,N/A
NTA0303MC-R,,murataps_store_view,0.6 x 0.441 x 0.26,15.24 x 11.2 x 6.6,0.152,-40 to 85,1,3.3,-3.3,2.97 to 3.63,NTA
NTA0305MC,,murataps_store_view,0.6 x 0.441 x 0.26,15.24 x 11.2 x 6.6,0.1,-40 to 85,1,5,-5,2.97 to 3.63,N/A
NTA0305MC-R,,murataps_store_view,0.6 x 0.441 x 0.26,15.24 x 11.2 x 6.6,0.1,-40 to 85,1,5,-5,2.97 to 3.63,NTA
NTA0309MC,,murataps_store_view,0.6 x 0.441 x 0.26,15.24 x 11.2 x 6.6,0.055,-40 to 85,1,9,-9,2.97 to 3.63,N/A
NTA0309MC-R,,murataps_store_view,0.6 x 0.441 x 0.26,15.24 x 11.2 x 6.6,0.055,-40 to 85,1,9,-9,2.97 to 3.63,NTA
NTE0303MC,,murataps_store_view,0.5 x 0.441 x 0.26,12.7 x 11.2 x 6.6,0.303,-40 to 85,1,3.3,,2.97 to 3.63,N/A
NTE0303MC-R,,murataps_store_view,0.5 x 0.441 x 0.26,12.7 x 11.2 x 6.6,0.303,-40 to 85,1,3.3,,2.97 to 3.63,N/A
NTE0305MC,,murataps_store_view,0.5 x 0.441 x 0.26,12.7 x 11.2 x 6.6,0.2,-40 to 85,1,5,,2.97 to 3.63,N/A
NTE0305MC-R,,murataps_store_view,0.5 x 0.441 x 0.26,12.7 x 11.2 x 6.6,0.2,-40 to 85,1,5,,2.97 to 3.63,N/A
NTE0309MC,,murataps_store_view,0.5 x 0.441 x 0.26,12.7 x 11.2 x 6.6,0.111,-40 to 85,1,9,,2.97 to 3.63,N/A
NTE0309MC-R,,murataps_store_view,0.5 x 0.441 x 0.26,12.7 x 11.2 x 6.6,0.111,-40 to 85,1,9,,2.97 to 3.63,N/A
NTE0312MC,,murataps_store_view,0.5 x 0.441 x 0.26,12.7 x 11.2 x 6.6,0.083,-40 to 85,1,12,,2.97 to 3.63,N/A
NTE0312MC-R,,murataps_store_view,0.5 x 0.441 x 0.26,12.7 x 11.2 x 6.6,0.083,-40 to 85,1,12,,2.97 to 3.63,N/A
NTE0315MC,,murataps_store_view,0.5 x 0.441 x 0.26,12.7 x 11.2 x 6.6,0.066,-40 to 85,1,15,,2.97 to 3.63,N/A
NTE0315MC-R,,murataps_store_view,0.5 x 0.441 x 0.26,12.7 x 11.2 x 6.6,0.066,-40 to 85,1,15,,2.97 to 3.63,N/A
NXE1S0303MC,,murataps_store_view,0.5 x 0.410 x 0.172,12.70 x 10.41 x 4.36,0.303,-40 to 85,1,3.3,,2.97 to 3.63,NXE1
NXE1S0305MC,,murataps_store_view,0.5 x 0.410 x 0.172,12.70 x 10.41 x 4.36,0.2,-40 to 85,1,5,,2.97 to 3.63,NXE1
NXJ1S0303MC,,murataps_store_view,0.540 x 0.412 x 0.172,13.72 x 10.46 x 4.36,0.333,-40 to 85,1,3.3,,2.97 to 3.63,NXJ1
NXJ1S0305MC,,murataps_store_view,0.540 x 0.412 x 0.172,13.72 x 10.46 x 4.36,0.2,-40 to 85,1,5,,2.97 to 3.63,NXJ1
NXJ2S0505MC,,murataps_store_view,0.63 x 0.57 x 0.124,16 x 14.48 x 3.16,400,-40 to 85,2,5,,4.5 to 5.5,NXJ2
NXJ2S1212MC,,murataps_store_view,0.63 x 0.57 x 0.124,16 x 14.48 x 3.16,167,-40 to 85,2,12,,10.8 to 13.2,NXJ2
NXJ2S1215MC,,murataps_store_view,0.63 x 0.57 x 0.124,16 x 14.48 x 3.16,133,-40 to 85,2,15,,10.8 to 13.2,NXJ2
NXJ2S2405MC,,murataps_store_view,0.63 x 0.57 x 0.124,16 x 14.48 x 3.16,400,-40 to 85,2,5,,21.6 to 26.4,NXJ2
NXJ2S2415MC,,murataps_store_view,0.63 x 0.57 x 0.124,16 x 14.48 x 3.16,133,-40 to 85,2,15,,21.6 to 26.4,NXJ2
OKDH-T/20-W12-001-C,,murataps_store_view,1.01 x 0.543 x 0.323,25.65 x 13.8 x 8.2 mm,20,-40 to 85,66,0.6-3.3,,4.5 to 14,N/A
OKDH-T/25-W12-001-C,,murataps_store_view,1.01 x 0.543 x 0.323,25.65 x 13.8 x 8.2 mm,25,-40 to 85,82.5,0.6-3.3,,4.5 to 14,N/A
OKDX-T/25-W12-001-C,,murataps_store_view,1.035 x 0.30 x 0.614,26.3 x 7.6 x 15.6,25,-40 to 85,82.5,0.6-3.3,,4.5 to 14,N/A
OKDY-T/20-W12-001-C,,murataps_store_view,1.01 x 0.543 x 0.323,25.65 x 13.8 x 8.2 mm,20,-40 to 85,66,0.6-3.3,,4.5 to 14,N/A
OKDY-T/25-W12-001-C,,murataps_store_view,1.01 x 0.543 x 0.323,25.65 x 13.8 x 8.2 mm,25,-40 to 85,82.5,0.6-3.3,,4.5 to 14,N/A
8808510,,murataps_store_view,0.8 x 0.45 x 0.34,20.32 x 11.43 x 8.55,12,-40 to 85,60,0.69 - 5.5,,4.5 to 14,N/A
8808508,,murataps_store_view,0.8 x 0.45 x 0.34,20.32 x 11.43 x 8.55,12,-40 to 85,60,0.69 - 5.5,,4.5 to 14,OKL2-T/12-W12
8808514,,murataps_store_view,1.3 x 0.53 x 0.34,33.02 x 13.46 x 8.75,20,-40 to 85,100,0.69 - 5.5,,4.5 to 14,N/A
8808512,,murataps_store_view,1.3 x 0.53 x 0.34,33.02 x 13.46 x 8.75,20,-40 to 85,100,0.69 - 5.5,,4.5 to 14,N/A
8941292,,murataps_store_view,1.3 x 0.53 x 0.48,33 x 13.5 x 12.2,25,-40 to 85,90.75,0.6-3.3,,6.5 to 14,OKLF-T/25-W12N-C
8941475,,murataps_store_view,1.45 x 0.61 x 0.44,36.8 x 15.5 x 11.2,20,-40 to 85,100,0.591 - 5,,6 - 13.8,OKR-T/20
8941476,,murataps_store_view,1.2 x 0.61 x 0.71 ,30.5 x 15.5 x 18.1,30,-40 to 85,180,0.591-6.0,,5.5 - 13.8,OKR-T/30
8941477,,murataps_store_view,1.1 x 1.45 x 0.61 ,27.9 x 36.8 x 15.5,50,-40 to 85,125,0.6 - 2.5,,6.5 - 13.8,OKR-T/50
8999494,,murataps_store_view,2.3 x 2.4 x 0.5,58.42x60.96x12.70,12.5,-40 to 85,350,28,,18 to 36,PAH
8957405,,murataps_store_view,1.45 x 2.3 x 0.5,36.8 x 58.4 x 12.7,5,-40 to 85,149,29.8,,36 to 75,N/A
8957400,,murataps_store_view,1.45 x 2.3 x 0.5,36.8 x 58.4 x 12.7,5,-40 to 85,149,29.8,,36 to 75,N/A
8957404,,murataps_store_view,1.45 x 2.3 x 0.5,36.8 x 58.4 x 12.7,5,-40 to 85,149,29.8,,36 to 75,N/A
8957403,,murataps_store_view,1.45 x 2.3 x 0.5,36.8 x 58.4 x 12.7,5,-40 to 85,149,29.8,,36 to 75,N/A
8937104,,murataps_store_view,1.45 x 2.3 x 0.5,36.8 x 58.4 x 12.7,17,-40 to 85,210,12,,36 to 75,N/A
8937105,,murataps_store_view,1.45 x 2.3 x 0.5,36.8 x 58.4 x 12.7,17,-40 to 85,210,12,,36 to 75,N/A
8999430,,murataps_store_view,2.3 x 0.9 x 0.5,58.4 x 22.9 x 12.7,20,-40 to 85,240,12,,36 to 75,N/A
8999431,,murataps_store_view,2.3 x 0.9 x 0.5,58.4 x 22.9 x 12.7,20,-40 to 85,240,12,,36 to 75,RBE-12/20-D48
8999433,,murataps_store_view,2.3 x 0.9 x 0.5,58.4 x 22.9 x 12.7,20,-40 to 85,240,12,,36 to 75,N/A
8999435,,murataps_store_view,2.3 x 0.9 x 0.5,58.4 x 22.9 x 12.7,20,-40 to 85,240,12,,36 to 75,N/A
8999384,,murataps_store_view,1.45 x 2.3 x 0.5,36.8 x 58.4 x 12.7,33,-40 to 85,396,12,,36 to 75,N/A
8999385,,murataps_store_view,1.45 x 2.3 x 0.5,36.8 x 58.4 x 12.7,33,-40 to 85,396,12,,36 to 75,N/A
8999474,,murataps_store_view,1.45 x 2.3 x 0.5,36.8 x 58.4 x 12.7,33,-40 to 85,396,12,,36 to 75,N/A
8999543,,murataps_store_view,1.45 x 2.3 x 0.5,36.8 x 58.4 x 12.7,33,-40 to 85,396,12,,36 to 75,N/A
8999387,,murataps_store_view,1.45 x 2.3 x 0.5,36.8 x 58.4 x 12.7,33,-40 to 85,396,12,,36 to 75,N/A
8999389,,murataps_store_view,1.45 x 2.3 x 0.5,36.8 x 58.4 x 12.7,33,-40 to 85,396,12,,36 to 75,N/A
8999476,,murataps_store_view,1.45 x 2.3 x 0.5,36.8 x 58.4 x 12.7,33,-40 to 85,396,12,,36 to 75,N/A
8999544,,murataps_store_view,1.45 x 2.3 x 0.5,36.8 x 58.4 x 12.7,33,-40 to 85,396,12,,36 to 75,N/A
8970730,,murataps_store_view,1.45 x 2.3 x 0.5,36.9 x 58.4 x 12.7,30,-40 to 85,36,1.2,,36 to 75,N/A
8970733,,murataps_store_view,1.45 x 2.3 x 0.5,36.9 x 58.4 x 12.7,30,-40 to 85,36,1.2,,36 to 75,N/A
8970738,,murataps_store_view,1.45 x 2.3 x 0.5,36.9 x 58.4 x 12.7,25,-40 to 85,37.5,1.5,,36 to 75,N/A
8970737,,murataps_store_view,1.45 x 2.3 x 0.4,36.9 x 58.4 x 10.2,25,-40 to 85,37.5,1.5,,36 to 75,N/A
8970741,,murataps_store_view,1.45 x 2.3 x 0.5,36.9 x 58.4 x 12.7,25,-40 to 85,37.5,1.5,,36 to 75,N/A
8970740,,murataps_store_view,1.45 x 2.3 x 0.4,36.9 x 58.4 x 10.2,25,-40 to 85,37.5,1.5,,36 to 75,N/A
8970700,,murataps_store_view,1.45 x 2.3 x 0.5,36.9 x 58.4 x 12.7,30,-40 to 85,54,1.8,,36 to 75,N/A
8970704,,murataps_store_view,1.45 x 2.3 x 0.5,36.9 x 58.4 x 12.7,30,-40 to 85,54,1.8,,36 to 75,N/A
8971252,,murataps_store_view,1.45 x 2.3 x 0.5,36.9 x 58.4 x 12.7,8.3,-40 to 85,99.6,12,,36 to 75,N/A
8971255,,murataps_store_view,1.45 x 2.3 x 0.5,36.9 x 58.4 x 12.7,8.3,-40 to 85,99.6,12,,36 to 75,N/A
8981152,,murataps_store_view,1.45 x 2.3 x 0.5,36.9 x 58.4 x 12.7,6.7,-40 to 85,100.5,15,,36 to 75,N/A
8981153,,murataps_store_view,1.45 x 2.3 x 0.5,36.9 x 58.4 x 12.7,6.7,-40 to 85,100.5,15,,36 to 75,N/A
8981155,,murataps_store_view,1.45 x 2.3 x 0.5,36.9 x 58.4 x 12.7,6.7,-40 to 85,100.5,15,,36 to 75,N/A
8981157,,murataps_store_view,1.45 x 2.3 x 0.5,36.9 x 58.4 x 12.7,6.7,-40 to 85,100.5,15,,36 to 75,N/A
8970746,,murataps_store_view,1.45 x 2.3 x 0.5,36.9 x 58.4 x 12.7,30,-40 to 85,75,2.5,,36 to 75,N/A
8970749,,murataps_store_view,1.45 x 2.3 x 0.5,36.9 x 58.4 x 12.7,30,-40 to 85,75,2.5,,36 to 75,N/A
8970754,,murataps_store_view,1.45 x 2.3 x 0.5,36.9 x 58.4 x 12.7,40,-40 to 85,100,2.5,,18 to 36,N/A
8970757,,murataps_store_view,1.45 x 2.3 x 0.5,36.9 x 58.4 x 12.7,40,-40 to 85,100,2.5,,18 to 36,N/A
8970770,,murataps_store_view,1.45 x 2.3 x 0.5,36.9 x 58.4 x 12.7,20,-40 to 85,66,3.3,,36 to 75,N/A
8970773,,murataps_store_view,1.45 x 2.3 x 0.5,36.9 x 58.4 x 12.7,20,-40 to 85,66,3.3,,36 to 75,N/A
8170182,,murataps_store_view,1.45 x 2.3 x 0.5,36.9 x 58.4 x 12.7,30,-40 to 85,99,3.3,,36 to 75,N/A
8970255,,murataps_store_view,1.45 x 2.3 x 0.5,36.9 x 58.4 x 12.7,30,-40 to 85,99,3.3,,36 to 75,N/A
8170173,,murataps_store_view,1.45 x 2.3 x 0.5,36.9 x 58.4 x 12.7,30,-40 to 85,99,3.3,,36 to 75,N/A
8970259,,murataps_store_view,1.45 x 2.3 x 0.5,36.9 x 58.4 x 12.7,30,-40 to 85,99,3.3,,36 to 75,N/A
8981028,,murataps_store_view,1.45 x 2.3 x 0.5,36.9 x 58.4 x 12.7,35,-40 to 85,115.5,3.3,,18 to 36,N/A
8981030,,murataps_store_view,1.45 x 2.3 x 0.5,36.9 x 58.4 x 12.7,35,-40 to 85,115.5,3.3,,18 to 36,N/A
8970502,,murataps_store_view,1.45 x 2.3 x 0.5,36.9 x 58.4 x 12.7,40,-40 to 85,132,3.3,,36 to 75,N/A
8970505,,murataps_store_view,1.45 x 2.3 x 0.5,36.9 x 58.4 x 12.7,40,-40 to 85,132,3.3,,36 to 75,N/A
8970711,,murataps_store_view,1.45 x 2.3 x 0.5,36.9 x 58.4 x 12.7,20,-40 to 85,100,5,,18 to 36,N/A
8970714,,murataps_store_view,1.45 x 2.3 x 0.5,36.9 x 58.4 x 12.7,20,-40 to 85,100,5,,18 to 36,N/A
8170187,,murataps_store_view,1.45 x 2.3 x 0.5,36.9 x 58.4 x 12.7,20,-40 to 85,100,5,,36 to 75,N/A
8970187,,murataps_store_view,1.45 x 2.3 x 0.5,36.9 x 58.4 x 12.7,20,-40 to 85,100,5,,36 to 75,N/A
8170162,,murataps_store_view,1.45 x 2.3 x 0.5,36.9 x 58.4 x 12.7,20,-40 to 85,100,5,,36 to 75,N/A
8970162,,murataps_store_view,1.45 x 2.3 x 0.5,36.9 x 58.4 x 12.7,20,-40 to 85,100,5,,36 to 75,N/A
8981109,,murataps_store_view,1.45 x 2.3 x 0.5,36.9 x 58.4 x 12.7,25,-40 to 85,125,5,,36 to 75,N/A
8981108,,murataps_store_view,1.45 x 2.3 x 0.4,36.9 x 58.4 x 10.2,25,-40 to 85,125,5,,36 to 75,N/A
8981112,,murataps_store_view,1.45 x 2.3 x 0.5,36.9 x 58.4 x 12.7,25,-40 to 85,125,5,,36 to 75,N/A
8981111,,murataps_store_view,1.45 x 2.3 x 0.4,36.9 x 58.4 x 10.2,25,-40 to 85,125,5,,36 to 75,N/A
8999528,,murataps_store_view,2.3 x 0.9 x 0.5,58.4 x 22.9 x 12.7,12.5,-40 to 85,150,12,,36 to 75,N/A
8999315,,murataps_store_view,2.3 x 0.9 x 0.5,58.4 x 22.9 x 12.7,25,-40 to 85,83,3.3,,36 to 75,N/A
8999316,,murataps_store_view,2.3 x 0.9 x 0.5,58.4 x 22.9 x 12.7,25,-40 to 85,83,3.3,,36 to 75,N/A
8999314,,murataps_store_view,2.3 x 0.9 x 0.37,58.4 x 22.9 x 9.4,25,-40 to 85,83,3.3,,36 to 75,N/A
8999313,,murataps_store_view,2.3 x 0.9 x 0.37,58.4 x 22.9 x 9.4,25,-40 to 85,83,3.3,,36 to 75,N/A
8999319,,murataps_store_view,2.3 x 0.9 x 0.37,58.4 x 22.9 x 9.4,25,-40 to 85,83,3.3,,36 to 75,N/A
8999318,,murataps_store_view,2.3 x 0.9 x 0.5,58.4 x 22.9 x 12.7,25,-40 to 85,83,3.3,,36 to 75,N/A
8999317,,murataps_store_view,2.3 x 0.9 x 0.37,58.4 x 22.9 x 9.4,25,-40 to 85,83,3.3,,36 to 75,N/A
8999320,,murataps_store_view,2.3 x 0.9 x 0.37,58.4 x 22.9 x 9.4,25,-40 to 85,83,3.3,,36 to 75,UEE
8983203,,murataps_store_view,2.3 x 0.9 x 0.5,58.4 x 22.9 x 12.7,30,-40 to 85,99,3.3,,36 to 75,N/A
8983204,,murataps_store_view,2.3 x 0.9 x 0.5,58.4 x 22.9 x 12.7,30,-40 to 85,99,3.3,,36 to 75,N/A
8983206,,murataps_store_view,2.3 x 0.9 x 0.5,58.4 x 22.9 x 12.7,30,-40 to 85,99,3.3,,36 to 75,N/A
8983208,,murataps_store_view,2.3 x 0.9 x 0.5,58.4 x 22.9 x 12.7,30,-40 to 85,99,3.3,,36 to 75,N/A
8999600,,murataps_store_view,2.3 x 0.9 x 0.5,58.4 x 22.9 x 12.7,45,-40 to 85,150,3.3,,36 to 75,N/A
8999603,,murataps_store_view,2.3 x 0.9 x 0.5,58.4 x 22.9 x 12.7,45,-40 to 85,150,3.3,,36 to 75,N/A
8999535,,murataps_store_view,2.3 x 0.9 x 0.5,58.4 x 22.9 x 12.7,30,-40 to 85,150,5,,36 to 75,N/A
8999538,,murataps_store_view,2.3 x 0.9 x 0.5,58.4 x 22.9 x 12.7,30,-40 to 85,150,5,,36 to 75,N/A
8903734,,murataps_store_view,1.1 x 0.96 x 0.32,27.9 x 24.4 x 8.1,4.5,-40 to 85,14.85,3.3,,9 to 36,N/A
8903735,,murataps_store_view,1.1 x 0.96 x 0.32,27.9 x 24.4 x 8.1,4.5,-40 to 85,14.85,3.3,,9 to 36,N/A
8903733,,murataps_store_view,1.1 x 0.96 x 0.32,27.9 x 24.4 x 8.1,5,-40 to 85,16.5,3.3,,18 to 75,N/A
8903736,,murataps_store_view,1.1 x 0.96 x 0.32,27.9 x 24.4 x 8.1,5,-40 to 85,16.5,3.3,,18 to 75,N/A
8903737,,murataps_store_view,1.1 x 0.96 x 0.32,27.9 x 24.4 x 8.1,3,-40 to 85,15,5,,9 to 36,N/A
8903738,,murataps_store_view,1.1 x 0.96 x 0.32,27.9 x 24.4 x 8.1,3,-40 to 85,15,5,,9 to 36,N/A
8903739,,murataps_store_view,1.1 x 0.96 x 0.32,27.9 x 24.4 x 8.1,3,-40 to 85,15,5,,18 to 75,N/A
8903740,,murataps_store_view,1.1 x 0.96 x 0.32,27.9 x 24.4 x 8.1,3,-40 to 85,15,5,,18 to 75,N/A
8903741,,murataps_store_view,1.1 x 0.96 x 0.32,27.9 x 24.4 x 8.1,1.3,-40 to 85,15.6,12,,9 to 36,N/A
8903742,,murataps_store_view,1.1 x 0.96 x 0.32,27.9 x 24.4 x 8.1,1.3,-40 to 85,15.6,12,,9 to 36,N/A
8903743,,murataps_store_view,1.1 x 0.96 x 0.32,27.9 x 24.4 x 8.1,1.3,-40 to 85,15.6,12,,18 to 75,N/A
8903744,,murataps_store_view,1.1 x 0.96 x 0.32,27.9 x 24.4 x 8.1,1.3,-40 to 85,15.6,12,,18 to 75,N/A
8903745,,murataps_store_view,1.1 x 0.96 x 0.32,27.9 x 24.4 x 8.1,1.1,-40 to 85,16.5,15,,9 to 36,N/A
8903746,,murataps_store_view,1.1 x 0.96 x 0.32,27.9 x 24.4 x 8.1,1.1,-40 to 85,16.5,15,,9 to 36,N/A
8903747,,murataps_store_view,1.1 x 0.96 x 0.32,27.9 x 24.4 x 8.1,1.1,-40 to 85,16.5,15,,18 to 75,N/A
8903748,,murataps_store_view,1.1 x 0.96 x 0.32,27.9 x 24.4 x 8.1,1.1,-40 to 85,16.5,15,,18 to 75,N/A
8921276,,murataps_store_view,1.45 x 2.22 x 0.5,36.9 x 56.4 x 12.7,25,-40 to 85,82.5,3.3,,9 to 36,N/A
8921274,,murataps_store_view,1.45 x 2.22 x 0.43,36.9 x 56.4 x 10.9,25,-40 to 85,82.5,3.3,,9 to 36,N/A
8921277,,murataps_store_view,1.45 x 2.22 x 0.5,36.9 x 56.4 x 12.7,25,-40 to 85,82.5,3.3,,9 to 36,N/A
8921275,,murataps_store_view,1.45 x 2.22 x 0.43,36.9 x 56.4 x 10.9,25,-40 to 85,82.5,3.3,,9 to 36,N/A
8904522,,murataps_store_view,1.45 x 2.22 x 0.5,36.9 x 56.4 x 12.7,25,-40 to 85,82.5,3.3,,18 to 75,N/A
8904520,,murataps_store_view,1.45 x 2.22 x 0.43,36.9 x 56.4 x 10.9,25,-40 to 85,82.5,3.3,,18 to 75,N/A
8904521,,murataps_store_view,1.45 x 2.22 x 0.5,36.9 x 56.4 x 12.7,25,-40 to 85,82.5,3.3,,18 to 75,N/A
8904519,,murataps_store_view,1.45 x 2.22 x 0.43,36.9 x 56.4 x 10.9,25,-40 to 85,82.5,3.3,,18 to 75,N/A
8970117,,murataps_store_view,1.45 x 2.3 x 0.5,36.8 x 58.4 x 12.7,8,-40 to 85,96,12,,18 to 36,N/A
8970116,,murataps_store_view,1.45 x 2.3 x 0.5,36.8 x 58.4 x 12.7,8,-40 to 85,96,12,,18 to 36,N/A
