sku,name,current_rating,inductors_dc_current_max_a,dc_resistance_max,inductors_dc_resist_max_mom,cmc_dc_resistance_max_mom,dc_resistance_secondary_max,dimension,dimensions_mm,inductors_height_inch,as_tran_height_inch,cs_tran_height_inch,p_tran_height_inch,p_tran_interwind_capac_max_pf,isolation_voltage,as_tran_isolation_voltage_vrms,p_tran_isolation_voltage_vrms,max_leakage_inductance,p_tran_pri_dc_resist_max_om,primary_inductance_typical,rohs_6,turn_ratio,as_tran_turn_ratio,p_tran_turn_ratio,volt_time_product,store_view_code,errors
76611/2C,,,,0.8,,,,"0.50 x 0.35 x 0.25","12.7 x 8.89 x 6.35",,,,0.25,13,500,,500,,0.8,,Yes,4:01:01,,"4 to 1 to 1",9.92,murataps_store_view,"Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'volt_time_product' attribute contains incorrect value, see acceptable values on settings specified for Admin"
76611/2C,76611/2C,,,0.8,,,,"0.50 x 0.35 x 0.25","12.7 x 8.89 x 6.35",,,,0.25,13,500,,500,,0.8,,Yes,4:01:01,,"4 to 1 to 1",9.92,,"Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'volt_time_product' attribute contains incorrect value, see acceptable values on settings specified for Admin"
53200C,,,,0.007,,7,34,"0.283 x 0.327 x 0.213","7.2 x 8.3 x 5.4",,,0.213,,,,,,8,,,Yes,1:200,,,,murataps_store_view,
53200C,53200C,,,0.007,,7,34,"0.283 x 0.327 x 0.213","7.2 x 8.3 x 5.4",,,0.213,,,,,,8,,,Yes,1:200,,,,,
78601/16JC,,,,0.84,,,,,,,,,0.25,,1000,1000,1000,,0.84,,Yes,1.1,,"1 to 1",,murataps_store_view,
78601/16JC,78601/16JC,,,0.84,,,,,,,,,0.25,,1000,1000,1000,,0.84,,Yes,1.1,,"1 to 1",,,
78601/1JC,,,,0.6,,,,,,,,,0.25,,1000,1000,1000,,0.6,,Yes,1.1,,"1 to 1",,murataps_store_view,
78601/1JC,78601/1JC,,,0.6,,,,,,,,,0.25,,1000,1000,1000,,0.6,,Yes,1.1,,"1 to 1",,,
78601/2JC,,,,0.34,,,,,,,,,0.25,,1000,1000,1000,,0.34,,Yes,1.1,,"1 to 1",,murataps_store_view,
78601/2JC,78601/2JC,,,0.34,,,,,,,,,0.25,,1000,1000,1000,,0.34,,Yes,1.1,,"1 to 1",,,
78601/3JC,,,,0.25,,,,,,,,,0.25,,1000,1000,1000,,0.25,,Yes,1.1,,"1 to 1",,murataps_store_view,
78601/3JC,78601/3JC,,,0.25,,,,,,,,,0.25,,1000,1000,1000,,0.25,,Yes,1.1,,"1 to 1",,,
78601/4JC,,,,0.17,,,,,,,,,0.25,,1000,1000,1000,,0.17,,Yes,1.1,,"1 to 1",,murataps_store_view,
78601/4JC,78601/4JC,,,0.17,,,,,,,,,0.25,,1000,1000,1000,,0.17,,Yes,1.1,,"1 to 1",,,
78601/8JC,,,,0.45,,,,,,,,,0.25,,1000,1000,1000,,0.45,,Yes,1.1,,"1 to 1",,murataps_store_view,
78601/8JC,78601/8JC,,,0.45,,,,,,,,,0.25,,1000,1000,1000,,0.45,,Yes,1.1,,"1 to 1",,,
78601/9JC,,,,1.3,,,,,,,,,0.25,,1000,1000,1000,,1.3,,Yes,1.1,,"1 to 1",,murataps_store_view,
78601/9JC,78601/9JC,,,1.3,,,,,,,,,0.25,,1000,1000,1000,,1.3,,Yes,1.1,,"1 to 1",,,
78602/16JC,,,,1.2,,,,,,,,,0.25,,1000,1000,1000,,1.2,,Yes,1.1,,"1 to 1 to 1",,murataps_store_view,
78602/16JC,78602/16JC,,,1.2,,,,,,,,,0.25,,1000,1000,1000,,1.2,,Yes,1.1,,"1 to 1 to 1",,,
78602/1JC,,,,0.66,,,,,,,,,0.25,,1000,1000,1000,,0.66,,Yes,1.1,,"1 to 1 to 1",,murataps_store_view,
